Designator,Mid X,Mid Y,Rotation,Layer
_3,173.8,-76.9,0.0,top
_2,173.8,-125.0,0.0,top
,134.7,-125.0,0.0,top
D1,122.71,-80.5,180.0,top
D10,115.48,-101.6,0.0,top
D11,125.18,-92.4,90.0,top
D12,134.65,-101.65,0.0,top
D13,125.18,-111.125,90.0,top
D14,183.24,-110.99,270.0,top
D15,174.01,-101.59,0.0,top
D16,183.24,-92.99,90.0,top
D17,193.55,-101.59,0.0,top
D2,111.01,-80.6,180.0,top
D3,111.01,-122.4,180.0,top
D4,187.21,-80.2,0.0,top
D5,187.3,-125.2,180.0,top
D6,121.31,-122.4,0.0,top
D7,197.41,-80.2,0.0,top
D8,187.3,-122.3,0.0,top
D9,197.51,-122.3,180.0,top
OL1,154.12,-109.615,270.0,top
SW1,134.7375,-90.015,0.0,top
SW2,115.6875,-90.015,0.0,top
SW3,115.6875,-109.06,0.0,top
SW4,173.71,-89.95,0.0,top
SW5,154.55,-119.5,0.0,top
SW6,134.75,-109.06,0.0,top
SW7,192.76,-89.95,0.0,top
SW8,173.71,-109.0,0.0,top
SW9,192.76,-109.0,0.0,top
U1,154.18,-83.62,0.0,bottom
